first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Age
Grannie,Cracker,Male,28,06/03/1949,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,68
Pietra,Buckleigh,Female,9,29/04/1949,Engineer III,n/a,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,68
Linette,Boman,Female,56,20/05/1949,Account Executive,n/a,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,Australia,11,68
Ansell,Tolhurst,Male,77,11/08/1949,Chemical Engineer,Manufacturing,Affluent Customer,N,No,22,13 Montana Place,2232,NSW,Australia,10,68
Ossie,Midden,Male,49,10/02/1950,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,67
Reinhard,Oscroft,Male,23,18/03/1950,Pharmacist,Health,High Net Worth,N,No,18,045 Magdeline Court,3690,VIC,Australia,1,67
Charlie,Dmych,Male,60,31/03/1950,Account Coordinator,Manufacturing,High Net Worth,N,No,13,920 Cambridge Way,2263,NSW,Australia,6,67
Burt,Vasechkin,Male,33,15/04/1950,Senior Sales Associate,Retail,Mass Customer,N,Yes,20,89100 Rusk Crossing,3338,VIC,Australia,2,67
Packston,Wackett,Male,10,26/04/1950,Quality Engineer,Financial Services,Mass Customer,N,No,19,7 Northridge Court,3192,VIC,Australia,9,67
Thaxter,Kingsbury,Male,12,03/05/1950,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,67
Kata,Harrop,Female,70,04/05/1950,,Retail,Affluent Customer,N,Yes,13,2 Ridgeway Avenue,2196,NSW,Australia,10,67
Nev,Prosh,Male,29,08/05/1950,Environmental Tech,Health,Affluent Customer,N,Yes,17,6115 Forest Crossing,2148,NSW,Australia,8,67
Poul,Gaskin,Male,78,15/06/1950,Help Desk Operator,Telecommunications,High Net Worth,N,No,17,9 Killdeer Circle,2643,NSW,Australia,2,67
Krystyna,Airey,Female,2,05/09/1950,Safety Technician II,n/a,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,67
Yorgos,Dewhurst,Male,6,09/09/1950,Software Consultant,Argiculture,Affluent Customer,N,No,16,4 Talmadge Road,4701,QLD,Australia,1,67
Bailey,Bereford,Male,44,30/09/1950,Senior Sales Associate,Argiculture,Affluent Customer,N,Yes,11,36 Golf Course Circle,2444,NSW,Australia,6,67
Dorotea,Fenwick,Female,74,12/10/1950,Nurse,Financial Services,High Net Worth,N,No,12,72 Lukken Crossing,2016,NSW,Australia,11,67
Nadiya,Balasini,Female,40,05/11/1950,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,67
Cathleen,Le Teve,Female,75,06/11/1950,Recruiting Manager,n/a,High Net Worth,N,No,18,32834 Caliangt Way,4211,QLD,Australia,3,67
Angie,Tansley,Male,68,30/11/1950,VP Sales,Manufacturing,Mass Customer,N,No,8,8 Cardinal Junction,2444,NSW,Australia,7,67
Esdras,Birchett,Male,81,09/12/1950,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,21,5287 Clarendon Plaza,2258,NSW,Australia,9,67
Iain,Haversham,Male,92,26/12/1950,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,67
Ogdan,Blenkinship,Male,65,18/01/1951,Occupational Therapist,Health,Mass Customer,N,Yes,21,21712 Texas Court,3429,VIC,Australia,5,66
Donn,Chaney,Male,15,29/01/1951,Research Assistant II,n/a,Mass Customer,N,No,13,4 Schlimgen Trail,4701,QLD,Australia,3,66
Bryon,Goundry,Male,79,05/02/1951,Marketing Manager,Manufacturing,Mass Customer,N,No,21,005 Kensington Street,4165,QLD,Australia,5,66
Lucius,Hatchell,Male,37,19/03/1951,Media Manager II,Retail,Mass Customer,N,Yes,14,432 Ronald Regan Court,3782,VIC,Australia,8,66
